Designator,Footprint,Quantity,Value,LCSC Part #
CN1,PinSocket_2x15_P2.54mm_Horizontal,1,Conn_02x15,
"J1, J2",PinHeader_1x17_P2.54mm_Vertical,2,Conn_01x17,
J3,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,
